(State1, State2)
(State2, State3)
(State3, State4)
(State4, State5)
(State5, State6)
(State5, State7)
(State7, State8)
(State8, State9)
(State9, State10)
(State10, State11)
(State11, State12)
(State12, State13)
(State13, State4)
(State14, State13)
(State14, State15)
(State15, State9)
(State9, State1)
(State9, State16)
(State9, State14)
(State16, State9)
(State16, State13)
(State16, State14)
(State16, State12)
(State12, State16)
(State20, State16)
(State20, State9)
(State20, State12)
(State19, State12)
(State18, State12)
(State17, State10)
(State17, State11)
(State10, State1)
(State10, State2)
(State21, State22)
(State22, State14)
(State22, State23)
(State23, State14)
(State23, State15)
(State23, State7)
(State23, State5)
(State23, State4)
(State24, State22)
(State24, State23)
(State24, State4)
